322.74%,0.17%
311.98%,0.17%
312.76%,0.18%
313.77%,0.19%
315.97%,0.19%
330.60%,0.01%
327.65%,0.01%
323.53%,0.02%
331.46%,0.03%
332.08%,0.03%
332.99%,0.04%
334.04%,0.05%
333.63%,0.06%
324.95%,0.06%
331.51%,0.07%
333.12%,0.08%
332.77%,0.08%
333.14%,0.09%
331.67%,0.10%
330.73%,0.10%
333.14%,0.11%
328.75%,0.12%
333.32%,0.12%
332.66%,0.13%
331.30%,0.14%
329.81%,0.14%
349.50%,0.15%
349.09%,0.16%
350.20%,0.16%
349.24%,0.17%
347.69%,0.18%
349.74%,0.18%
348.99%,0.19%
348.18%,0.20%
348.49%,0.21%
348.42%,0.21%
350.13%,0.22%
347.50%,0.01%
348.44%,0.02%
347.25%,0.02%
346.71%,0.03%
348.17%,0.04%
347.95%,0.04%
347.36%,0.05%
348.25%,0.06%
346.70%,0.06%
347.39%,0.07%
347.18%,0.08%
347.86%,0.09%
348.72%,0.09%
347.36%,0.10%
338.89%,0.11%
347.10%,0.11%
347.13%,0.12%
348.00%,0.13%
347.03%,0.13%
348.23%,0.14%
347.13%,0.15%
348.44%,0.16%
347.87%,0.16%
348.41%,0.17%
346.81%,0.18%
347.45%,0.18%
345.88%,0.19%
346.91%,0.20%
347.11%,0.20%
347.66%,0.21%
348.32%,0.22%
348.50%,0.01%
347.90%,0.02%
348.14%,0.02%
347.45%,0.03%
348.35%,0.04%
348.37%,0.04%
347.78%,0.05%
348.05%,0.06%
348.38%,0.06%
349.27%,0.07%
348.65%,0.08%
348.21%,0.09%
347.22%,0.09%
347.40%,0.10%
333.51%,0.11%
346.04%,0.11%
347.99%,0.12%
348.60%,0.13%
347.52%,0.13%
347.56%,0.14%
348.00%,0.15%
346.98%,0.16%
348.55%,0.16%
348.31%,0.17%
347.83%,0.18%
346.58%,0.18%
347.97%,0.19%
348.14%,0.20%
344.56%,0.20%
347.76%,0.21%
347.18%,0.22%
343.75%,0.01%
344.48%,0.02%
345.15%,0.02%
345.58%,0.03%
346.95%,0.04%
344.47%,0.04%
346.67%,0.05%
346.33%,0.06%
346.37%,0.06%
345.55%,0.07%
344.31%,0.08%
347.30%,0.09%
345.55%,0.09%
345.70%,0.10%
344.37%,0.11%
346.45%,0.11%
346.46%,0.12%
344.31%,0.13%
346.78%,0.13%
345.67%,0.14%
345.50%,0.15%
345.20%,0.16%
344.83%,0.16%
344.72%,0.17%
346.68%,0.18%
348.36%,0.18%
346.39%,0.19%
338.13%,0.20%
346.43%,0.20%
344.70%,0.21%
344.66%,0.22%
348.53%,0.01%
348.65%,0.02%
347.85%,0.02%
338.36%,0.03%
346.93%,0.04%
350.01%,0.04%
349.21%,0.05%
348.19%,0.06%
348.39%,0.06%
347.93%,0.07%
348.92%,0.08%
347.24%,0.09%
348.38%,0.09%
348.72%,0.10%
347.69%,0.11%
348.01%,0.11%
347.83%,0.12%
348.02%,0.13%
348.87%,0.14%
348.24%,0.14%
349.41%,0.15%
348.83%,0.16%
347.61%,0.16%
348.86%,0.17%
349.27%,0.18%
348.37%,0.18%
338.21%,0.19%
348.64%,0.20%
348.90%,0.21%
349.13%,0.21%
349.60%,0.22%
347.47%,0.01%
349.33%,0.02%
347.93%,0.02%
339.88%,0.03%
348.52%,0.04%
348.02%,0.04%
